Place of birth,Period of immigration - Total immigrant population,Period of immigration - Before 1981,Period of immigration - 1981 to 1990,Period of immigration - 1991 to 2000,Period of immigration - 2001 to 2005,Period of immigration - 2006 to 2010,Period of immigration - 2011 to 2016
  South Sudan,5540,25,115,1565,2610,835,385
  Spain,10700,6120,870,725,430,670,1880
  Sri Lanka,131995,3345,21730,55110,20965,19355,11495
  Sudan[13],10820,220,505,3020,2615,1985,2470
  Suriname,1050,345,145,220,165,115,65
  Svalbard and Jan Mayen,0,0,0,0,0,0,0
  Swaziland,400,35,30,55,30,70,180
  Sweden,6630,3540,670,750,480,610,580
  Switzerland,19040,8860,2870,3835,1075,1270,1130
  Syria[15],52955,3605,4300,6360,4190,4560,29945
  Taiwan,63770,4785,6810,31535,7940,8395,4310
  Tajikistan,1310,30,10,255,480,340,195
  Tanzania[12],20600,9870,4240,2410,1330,1320,1440
  Thailand,15075,1140,3965,2060,1640,3715,2550
  Timor-Leste,25,10,15,0,0,0,0
  Togo,3350,75,75,390,430,890,1480
  Tokelau,0,0,0,0,0,0,0
  Tonga,140,40,25,25,15,25,10
  Trinidad and Tobago,65035,28835,12085,14950,3395,3770,2000
  Tunisia,17435,1265,765,1835,2365,4505,6700
  Turkey,26710,3865,3425,5880,5055,4240,4260
  Turkmenistan,500,0,15,70,145,170,95
  Turks and Caicos Islands,60,15,0,0,0,10,30
  Tuvalu,0,0,0,0,0,0,0
  Uganda,13210,7410,1375,1050,715,1215,1445
  Ukraine,73030,9675,2725,20615,14000,12585,13430
  United Arab Emirates,20990,25,740,4415,4355,5320,6130
  United Kingdom[7],499120,347310,47690,31190,18845,29635,24450
  United States[2],253715,107840,27630,28655,23095,33435,33060
  United States Minor Outlying Islands,0,0,0,0,0,0,0
  Uruguay,6535,2960,1065,1160,575,530,240
  Uzbekistan,6385,210,145,1345,1420,1835,1435
  Vanuatu,30,10,0,0,0,0,0
  Venezuela[4],20775,1535,1305,3125,3405,4990,6425
  Viet Nam,169250,38990,60010,37975,9610,11455,11210
"  Virgin Islands, British",85,30,35,10,0,10,10
"  Virgin Islands, United States",90,35,20,0,0,10,15
  Wallis and Futuna,10,0,0,10,0,10,0
  West Bank and Gaza Strip (Palestine)[16],8210,1465,1185,1845,1230,1215,1270
  Western Sahara,0,0,0,0,0,0,0
  Yemen,2960,185,165,500,650,615,845
  Zambia,3715,775,650,755,580,550,405
  Zimbabwe,10495,1120,950,1050,2760,2680,1930
  Åland Islands,10,0,0,0,0,0,0
,,,,,,,
Note(s):,,,,,,,
"[1]: For more information on the place of birth variables, including information on their classifications, the questions from which they are derived, data quality and their comparability with other sources of data, please refer to the Place of Birth, Generation Status, Citizenship and Immigration Reference Guide, Census of Population, 2016.",,,,,,,
[2]: The official name of United States is United States of America.,,,,,,,
[3]: The official name of Bolivia is Plurinational State of Bolivia.,,,,,,,
[4]: The official name of Venezuela is Bolivarian Republic of Venezuela.,,,,,,,
[5]: The official name of Moldova is Republic of Moldova.,,,,,,,
[6]: Ireland is also referred to as Republic of Ireland.,,,,,,,
"[7]: The official name of United Kingdom is United Kingdom of Great Britain and Northern Ireland. United Kingdom includes Scotland, Wales, England and Northern Ireland (excludes Isle of Man, the Channel Islands and British Overseas Territories).",,,,,,,
[8]: The official name of Kosovo is Republic of Kosovo.,,,,,,,
"[9]: Macedonia, Republic of: known as the former Yugoslav Republic of Macedonia by the United Nations and other international bodies.",,,,,,,
[10]: Serbia excludes Kosovo.,,,,,,,
"[11]: The official name of Saint Helena is Saint Helena, Ascension and Tristan da Cunha.",,,,,,,
[12]: The official name of Tanzania is United Republic of Tanzania.,,,,,,,
[13]: The full name of Sudan is the Republic of the Sudan.,,,,,,,
[14]: The official name of Iran is Islamic Republic of Iran.,,,,,,,
[15]: The official name of Syria is Syrian Arab Republic.,,,,,,,
"[16]: West Bank and Gaza Strip (Palestine): West Bank and Gaza Strip are the territories referred to in the Declaration of Principles, signed by Israel and the Palestine Liberation Organization in 1993. Palestine refers to pre-1948 British mandate Palestine.",,,,,,,
[17]: China excludes Hong Kong and Macao.,,,,,,,
[18]: The full name of Hong Kong is the Hong Kong Special Administrative Region of China.,,,,,,,
[19]: The official name of North Korea is Democratic People's Republic of Korea.,,,,,,,
[20]: The official name of South Korea is Republic of Korea.,,,,,,,
[21]: The full name of Macao is Macao Special Administrative Region of China.,,,,,,,
[22]: The official name of Laos is Lao People's Democratic Republic.,,,,,,,
"[23]:  Includes a small number of immigrants who were born in Canada, as well as other places of birth not included elsewhere, such as 'born at sea'.",,,,,,,
,,,,,,,
Data quality flag:,,,,,,,
,,,,,,,
Digit Description,,,,,,,
First (0XXXX): Incomplete enumeration flag,,,,,,,
Second (X0XXX): Short-form data quality flag,,,,,,,
Third (XX0XX): Short-form income data quality flag,,,,,,,
Fourth (XXX0X): Long-form data quality flag,,,,,,,
Fifth (XXXX0): Long-form income data quality flag,,,,,,,
,,,,,,,
Flag description,,,,,,,
Incomplete enumeration flag,,,,,,,
0 = Default. Not applicable.,,,,,,,
1 = Incompletely enumerated Indian reserve or Indian settlement (suppressed).,,,,,,,
2 = Excludes census data for one or more incompletely enumerated Indian reserves or Indian settlements.,,,,,,,
,,,,,,,
Short-form data quality flag,,,,,,,
0 = Default. Data quality index showing a short-form global non-response rate lower than 10%.,,,,,,,
"1 = Data quality index showing a short-form global non-response rate higher than or equal to 10%, but lower than 20%.",,,,,,,
"2 = Data quality index showing a short-form global non-response rate higher than or equal to 20%, but lower than 30%.",,,,,,,
"3 = Data quality index showing a short-form global non-response rate higher than or equal to 30%, but lower than 40%.",,,,,,,
"4 = Data quality index showing a short-form global non-response rate higher than or equal to 40%, but lower than 50%.",,,,,,,
5 = Data quality index showing a short-form global non-response rate higher than or equal to 50% (suppressed).,,,,,,,
9 = Short-form data suppressed to meet the confidentiality requirements of the Statistics Act.,,,,,,,
,,,,,,,
Short-form income data quality flag,,,,,,,
0 = Default. Data quality index showing a short-form income non-response rate lower than 10%.,,,,,,,
"1 = Data quality index showing a short-form income non-response rate higher than or equal to 10%, but lower than 20%.",,,,,,,
"2 = Data quality index showing a short-form income non-response rate higher than or equal to 20%, but lower than 30%.",,,,,,,
3 = Data quality index showing a short-form income non-response rate higher than or equal to 30%.,,,,,,,
9 = Short-form income data suppressed to meet the confidentiality requirements of the Statistics Act.,,,,,,,
,,,,,,,
Long-form data quality flag,,,,,,,
0 = Default. Data quality index showing a long-form global non-response rate lower than 10%.,,,,,,,
"1 = Data quality index showing a long-form global non-response rate higher than or equal to 10%, but lower than 20%.",,,,,,,
"2 = Data quality index showing a long-form global non-response rate higher than or equal to 20%, but lower than 30%.",,,,,,,
"3 = Data quality index showing a long-form global non-response rate higher than or equal to 30%, but lower than 40%.",,,,,,,
"4 = Data quality index showing a long-form global non-response rate higher than or equal to 40%, but lower than 50%.",,,,,,,
5 = Data quality index showing a long-form global non-response rate higher than or equal to 50% (suppressed).,,,,,,,
9 = Long-form data suppressed to meet the confidentiality requirements of the Statistics Act.,,,,,,,
,,,,,,,
Long-form income data quality flag,,,,,,,
0 = Default. Data quality index showing a long-form income non-response rate lower than 10%.,,,,,,,
"1 = Data quality index showing a long-form income non-response rate higher than or equal to 10%, but lower than 20%.",,,,,,,
"2 = Data quality index showing a long-form income non-response rate higher than or equal to 20%, but lower than 30%.",,,,,,,
3 = Data quality index showing a long-form income non-response rate higher than or equal to 30%.,,,,,,,
9 = Long-form income data suppressed to meet the confidentiality requirements of the Statistics Act.,,,,,,,
,,,,,,,
,,,,,,,
"Source: Statistics Canada, 2016 Census of Population.",,,,,,,
,,,,,,,
How to cite: Statistics Canada. 2017. Immigration and Ethnocultural Diversity Highlight Tables. 2016 Census.,,,,,,,
"Statistics Canada Catalogue no. 98-402-X2016007. Ottawa. Released October 25, 2017.",,,,,,,
"http://www12.statcan.gc.ca/census-recensement/2016/dp-pd/hlt-fst/imm/index-eng.cfm (accessed January 01, 2019)",,,,,,,
